recipe_id,recipe_name,ingredients_joined
22,"Awesome Sausage, Apple and Cranberry Stuffing","3 3/4 cups cubed white bread||1 1/2 cups cubed whole wheat bread||1 pound ground turkey sausage||1 cup chopped onion||3/4 cup chopped celery||2 1/2 teaspoons dried sage||1 1/2 teaspoons dried rosemary||1/2 teaspoon dried thyme||1 Golden Delicious apple, cored and chopped||3/4 cup dried cranberries||1/3 cup minced fresh parsley||1 cooked turkey liver, finely chopped||3/4 cup turkey stock||4 tablespoons unsalted butter, melted"
23,Apple Hand Pies,"2 tablespoons butter||2 large green apples - peeled, cored, and cut into chunks||2 tablespoons brown sugar||1/4 cup white sugar||1/4 teaspoon salt||1 1/2 teaspoons ground cinnamon, or to taste||1 teaspoon water, or more if needed (Optional)||1 pound prepared pie dough, cut into 4 pieces||1 egg||2 teaspoons milk||1 teaspoon white sugar, or as needed"
24,Amazing Apple Butter,"10 pounds apples, quartered||4 cups unsweetened apple juice||1 cup white sugar||1 tablespoon apple cider vinegar||1 1/2 teaspoons ground cinnamon||1/2 teaspoon ground cloves||1/2 teaspoon ground allspice||6 half-pint canning jars with lids and rings"
25,Easy Apple Cinnamon Muffins,"1 1/2 cups all-purpose flour||3/4 cup white sugar||2 teaspoons baking powder||1 teaspoon ground cinnamon||1/2 teaspoon salt||1 egg||1/3 cup vegetable oil||1/3 cup milk||2 apples - peeled, cored and chopped"
26,Debbie's Amazing Apple Bread,"2 eggs||2 cups white sugar||1/2 cup vegetable oil||2 teaspoons vanilla extract||2 cups apples, peeled and diced||2 cups all-purpose flour||1 1/2 teaspoons salt||1 teaspoon baking powder||1/2 teaspoon ground cinnamon, or more to taste"
27,Mom's Apple Fritters,"1 quart vegetable oil for deep-frying||1 1/2 cups all-purpose flour||1 tablespoon white sugar||2 teaspoons baking powder||1/2 teaspoon salt||2/3 cup milk||2 large eggs, beaten||1 tablespoon vegetable oil||3 cups apples - peeled, cored and chopped||1 cup cinnamon sugar"
28,Easy Apple Crisp with Pie Filling,1 (21 ounce) can apple pie filling||1/2 teaspoon ground cinnamon||1/2 teaspoon ground nutmeg||1 cup margarine||1/4 cup brown sugar||2 cups all-purpose flour
29,Apple Strudel Muffins,2 cups all-purpose flour||1 teaspoon baking powder||1/2 teaspoon baking soda||1/2 teaspoon salt||1 cup white sugar||1/2 cup butter||2 large eggs||1 1/4 teaspoons vanilla||1 1/2 cups chopped apples
30,Delicious Cinnamon Baked Apples,"1 teaspoon butter||2 tablespoons brown sugar||3 teaspoons vanilla sugar||3 teaspoons ground cinnamon||1 teaspoon ground nutmeg||6 large apples - peeled, cored, and sliced||3 1/2 tablespoons water"
31,Waldorf Salad,"1/2 cup mayonnaise||1 tablespoon white sugar||1 teaspoon lemon juice||1/8 teaspoon salt||3 apples -- peeled, cored, and chopped||1 cup thinly sliced celery||1/2 cup chopped walnuts||1/2 cup raisins (Optional)"
32,Apple-Cranberry Crostada,"3 tablespoons butter||2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick||1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick||1/2 cup sugar||1/2 cup dried cranberries||1 sheet frozen puff pastry, thawed but still cold (follow package directions)||1 egg white, lightly beaten||1 tablespoon sugar||1 cup Optional: Ice cream or lightly sweetened whipped cream"
33,Apple Pie by Grandma Ople,"8 small Granny Smith apples, or as needed||1/2 cup unsalted butter||3 tablespoons all-purpose flour||1/2 cup white sugar||1/2 cup packed brown sugar||1/4 cup water||1 (9 inch) double-crust pie pastry, thawed"
34,Sarah's Homemade Applesauce,"4 apples - peeled, cored and chopped||3/4 cup water||1/4 cup white sugar||1/2 teaspoon ground cinnamon"
35,Apple Crisp,"10 cups all-purpose apples, peeled, cored and sliced||1 cup white sugar||1 tablespoon all-purpose flour||1 teaspoon ground cinnamon||1/2 cup water||1 cup quick-cooking oats||1 cup all-purpose flour||1 cup packed brown sugar||1/4 teaspoon baking powder||1/4 teaspoon baking soda||1/2 cup butter, melted"
36,Apple Pie Filling,18 cups thinly sliced apples||3 tablespoons lemon juice||10 cups water||4 1/2 cups white sugar||1 cup cornstarch||2 teaspoons ground cinnamon||1 teaspoon salt||1/4 teaspoon ground nutmeg
37,Easy Apple Crisp with Oat Topping,"6 apples - peeled, cored, and sliced||2 tablespoons white sugar||1 1/2 teaspoons ground cinnamon, divided||1 cup brown sugar||3/4 cup old-fashioned oats||3/4 cup all-purpose flour||1/2 cup cold butter"
38,Easy Apple Cider,1 (64 fluid ounce) bottle apple cider||3 cinnamon sticks||1 teaspoon whole allspice||1 teaspoon whole cloves||1/3 cup brown sugar
39,Apple-Cranberry Crisp,"2 pounds Granny Smith apples - peeled, cored and thinly sliced||3/4 cup cranberries||1/4 cup white sugar||1 tablespoon ground cinnamon||1 teaspoon ground nutmeg"
40,Old-Fashioned Apple Dumplings,"1 recipe pastry for double-crust pie||6 large Granny Smith apples, peeled and cored||1/2 cup butter||3/4 cup brown sugar||1 teaspoon ground cinnamon||1/2 teaspoon ground nutmeg||3 cups water||2 cups white sugar||1 teaspoon vanilla extract"
41,Southern Fried Apples,"1/2 cup butter||1/2 cup white sugar||2 tablespoons ground cinnamon||4 Granny Smith apples - peeled, cored, and sliced"
42,Apple Turnovers,"2 tablespoons lemon juice||4 cups water||4 Granny Smith apples - peeled, cored and sliced||2 tablespoons butter||1 cup brown sugar||1 teaspoon ground cinnamon||1 tablespoon cornstarch||1 tablespoon water||1 (17.25 ounce) package frozen puff pastry sheets, thawed||1 cup confectioners' sugar||1 tablespoon milk||1 teaspoon vanilla extract"
43,Apple Crisp - Perfect and Easy,"2 1/2 cups apples - peeled, cored, and sliced||1 cup sifted all-purpose flour||1 cup white sugar||1/2 teaspoon ground cinnamon||1/4 teaspoon salt||1/2 cup butter, softened"
44,The Best Caramel Apples,8 large tart apples||8 wooden chopsticks for handles||2 cups packed brown sugar||1 (14 ounce) can sweetened condensed milk||1 cup light corn syrup||1 cup butter||2 teaspoons vanilla extract
45,Mulligatawny Soup,"1/2 cup chopped onion||2 stalks celery, chopped||1 carrot, diced||1/4 cup butter||1 1/2 tablespoons all-purpose flour||1 1/2 teaspoons curry powder||4 cups chicken broth||1/2 apple, cored and chopped||1/4 cup white rice||1 skinless, boneless chicken breast half - cut into cubes||1 pinch dried thyme, salt and ground black pepper to taste||1/2 cup heavy cream, heated"
46,Sauteed Apples,"1/4 cup butter||4 large tart apples - peeled, cored and sliced 1/4 inch thick||1/2 cup cold water||2 teaspoons cornstarch||1/2 cup brown sugar||1/2 teaspoon ground cinnamon"
47,Homemade Apple Cider,"10 large apples, quartered, water, to cover||3/4 cup white sugar||1 tablespoon ground cinnamon||1 tablespoon ground allspice"
48,Canned Apple Pie Filling,4 1/2 cups white sugar||1 cup cornstarch||2 teaspoons ground cinnamon||1/4 teaspoon ground nutmeg||10 cups water||2 teaspoons salt||3 tablespoons lemon juice||2 drops yellow food coloring||6 pounds apples
49,Easy Apple Pie,"1 (14.1 ounce) package pastry for a 9-inch double-crust pie||3/4 cup white sugar, or more to taste||1 teaspoon ground cinnamon||6 cups thinly sliced apples||1 tablespoon butter"
50,Apple Crumb Pie,6 cups thinly sliced apples||1 tablespoon lemon juice (Optional)||3/4 cup white sugar||2 tablespoons all-purpose flour||1/2 teaspoon ground cinnamon||1/8 teaspoon ground nutmeg||1/2 cup raisins (Optional)||1/2 cup chopped walnuts (Optional)||1 (9 inch) pie shell||1/2 cup all-purpose flour||1/2 cup packed brown sugar||3 tablespoons butter
51,Caramel Apples,"6 apples||6 wooden craft sticks, cooking spray||1 (14 ounce) package individually wrapped caramels, unwrapped||2 tablespoons milk"
52,German Apple Cake,"1 cup vegetable oil||2 eggs||2 cups white sugar||1 teaspoon vanilla extract||2 cups all-purpose flour||2 teaspoons ground cinnamon||1 teaspoon baking soda||1/2 teaspoon salt||4 cups apples - peeled, cored and diced"
53,"Awesome Sausage, Apple and Cranberry Stuffing","3 3/4 cups cubed white bread||1 1/2 cups cubed whole wheat bread||1 pound ground turkey sausage||1 cup chopped onion||3/4 cup chopped celery||2 1/2 teaspoons dried sage||1 1/2 teaspoons dried rosemary||1/2 teaspoon dried thyme||1 Golden Delicious apple, cored and chopped||3/4 cup dried cranberries||1/3 cup minced fresh parsley||1 cooked turkey liver, finely chopped||3/4 cup turkey stock||4 tablespoons unsalted butter, melted"
54,Apple Hand Pies,"2 tablespoons butter||2 large green apples - peeled, cored, and cut into chunks||2 tablespoons brown sugar||1/4 cup white sugar||1/4 teaspoon salt||1 1/2 teaspoons ground cinnamon, or to taste||1 teaspoon water, or more if needed (Optional)||1 pound prepared pie dough, cut into 4 pieces||1 egg||2 teaspoons milk||1 teaspoon white sugar, or as needed"
55,Amazing Apple Butter,"10 pounds apples, quartered||4 cups unsweetened apple juice||1 cup white sugar||1 tablespoon apple cider vinegar||1 1/2 teaspoons ground cinnamon||1/2 teaspoon ground cloves||1/2 teaspoon ground allspice||6 half-pint canning jars with lids and rings"
56,Easy Apple Cinnamon Muffins,"1 1/2 cups all-purpose flour||3/4 cup white sugar||2 teaspoons baking powder||1 teaspoon ground cinnamon||1/2 teaspoon salt||1 egg||1/3 cup vegetable oil||1/3 cup milk||2 apples - peeled, cored and chopped"
57,Debbie's Amazing Apple Bread,"2 eggs||2 cups white sugar||1/2 cup vegetable oil||2 teaspoons vanilla extract||2 cups apples, peeled and diced||2 cups all-purpose flour||1 1/2 teaspoons salt||1 teaspoon baking powder||1/2 teaspoon ground cinnamon, or more to taste"
58,Mom's Apple Fritters,"1 quart vegetable oil for deep-frying||1 1/2 cups all-purpose flour||1 tablespoon white sugar||2 teaspoons baking powder||1/2 teaspoon salt||2/3 cup milk||2 large eggs, beaten||1 tablespoon vegetable oil||3 cups apples - peeled, cored and chopped||1 cup cinnamon sugar"
59,Easy Apple Crisp with Pie Filling,1 (21 ounce) can apple pie filling||1/2 teaspoon ground cinnamon||1/2 teaspoon ground nutmeg||1 cup margarine||1/4 cup brown sugar||2 cups all-purpose flour
60,Apple Strudel Muffins,2 cups all-purpose flour||1 teaspoon baking powder||1/2 teaspoon baking soda||1/2 teaspoon salt||1 cup white sugar||1/2 cup butter||2 large eggs||1 1/4 teaspoons vanilla||1 1/2 cups chopped apples
61,Delicious Cinnamon Baked Apples,"1 teaspoon butter||2 tablespoons brown sugar||3 teaspoons vanilla sugar||3 teaspoons ground cinnamon||1 teaspoon ground nutmeg||6 large apples - peeled, cored, and sliced||3 1/2 tablespoons water"
62,Waldorf Salad,"1/2 cup mayonnaise||1 tablespoon white sugar||1 teaspoon lemon juice||1/8 teaspoon salt||3 apples -- peeled, cored, and chopped||1 cup thinly sliced celery||1/2 cup chopped walnuts||1/2 cup raisins (Optional)"
63,Apple-Cranberry Crostada,"3 tablespoons butter||2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick||1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick||1/2 cup sugar||1/2 cup dried cranberries||1 sheet frozen puff pastry, thawed but still cold (follow package directions)||1 egg white, lightly beaten||1 tablespoon sugar||1 cup Optional: Ice cream or lightly sweetened whipped cream"
64,Apple Pie by Grandma Ople,"8 small Granny Smith apples, or as needed||1/2 cup unsalted butter||3 tablespoons all-purpose flour||1/2 cup white sugar||1/2 cup packed brown sugar||1/4 cup water||1 (9 inch) double-crust pie pastry, thawed"
65,Sarah's Homemade Applesauce,"4 apples - peeled, cored and chopped||3/4 cup water||1/4 cup white sugar||1/2 teaspoon ground cinnamon"
66,Apple Crisp,"10 cups all-purpose apples, peeled, cored and sliced||1 cup white sugar||1 tablespoon all-purpose flour||1 teaspoon ground cinnamon||1/2 cup water||1 cup quick-cooking oats||1 cup all-purpose flour||1 cup packed brown sugar||1/4 teaspoon baking powder||1/4 teaspoon baking soda||1/2 cup butter, melted"
67,Apple Pie Filling,18 cups thinly sliced apples||3 tablespoons lemon juice||10 cups water||4 1/2 cups white sugar||1 cup cornstarch||2 teaspoons ground cinnamon||1 teaspoon salt||1/4 teaspoon ground nutmeg
68,Easy Apple Crisp with Oat Topping,"6 apples - peeled, cored, and sliced||2 tablespoons white sugar||1 1/2 teaspoons ground cinnamon, divided||1 cup brown sugar||3/4 cup old-fashioned oats||3/4 cup all-purpose flour||1/2 cup cold butter"
69,Easy Apple Cider,1 (64 fluid ounce) bottle apple cider||3 cinnamon sticks||1 teaspoon whole allspice||1 teaspoon whole cloves||1/3 cup brown sugar
70,Apple-Cranberry Crisp,"2 pounds Granny Smith apples - peeled, cored and thinly sliced||3/4 cup cranberries||1/4 cup white sugar||1 tablespoon ground cinnamon||1 teaspoon ground nutmeg"
71,Old-Fashioned Apple Dumplings,"1 recipe pastry for double-crust pie||6 large Granny Smith apples, peeled and cored||1/2 cup butter||3/4 cup brown sugar||1 teaspoon ground cinnamon||1/2 teaspoon ground nutmeg||3 cups water||2 cups white sugar||1 teaspoon vanilla extract"
72,Southern Fried Apples,"1/2 cup butter||1/2 cup white sugar||2 tablespoons ground cinnamon||4 Granny Smith apples - peeled, cored, and sliced"
73,Apple Turnovers,"2 tablespoons lemon juice||4 cups water||4 Granny Smith apples - peeled, cored and sliced||2 tablespoons butter||1 cup brown sugar||1 teaspoon ground cinnamon||1 tablespoon cornstarch||1 tablespoon water||1 (17.25 ounce) package frozen puff pastry sheets, thawed||1 cup confectioners' sugar||1 tablespoon milk||1 teaspoon vanilla extract"
74,Apple Crisp - Perfect and Easy,"2 1/2 cups apples - peeled, cored, and sliced||1 cup sifted all-purpose flour||1 cup white sugar||1/2 teaspoon ground cinnamon||1/4 teaspoon salt||1/2 cup butter, softened"
75,The Best Caramel Apples,8 large tart apples||8 wooden chopsticks for handles||2 cups packed brown sugar||1 (14 ounce) can sweetened condensed milk||1 cup light corn syrup||1 cup butter||2 teaspoons vanilla extract
76,Mulligatawny Soup,"1/2 cup chopped onion||2 stalks celery, chopped||1 carrot, diced||1/4 cup butter||1 1/2 tablespoons all-purpose flour||1 1/2 teaspoons curry powder||4 cups chicken broth||1/2 apple, cored and chopped||1/4 cup white rice||1 skinless, boneless chicken breast half - cut into cubes||1 pinch dried thyme, salt and ground black pepper to taste||1/2 cup heavy cream, heated"
77,Sauteed Apples,"1/4 cup butter||4 large tart apples - peeled, cored and sliced 1/4 inch thick||1/2 cup cold water||2 teaspoons cornstarch||1/2 cup brown sugar||1/2 teaspoon ground cinnamon"
78,Homemade Apple Cider,"10 large apples, quartered, water, to cover||3/4 cup white sugar||1 tablespoon ground cinnamon||1 tablespoon ground allspice"
79,Canned Apple Pie Filling,4 1/2 cups white sugar||1 cup cornstarch||2 teaspoons ground cinnamon||1/4 teaspoon ground nutmeg||10 cups water||2 teaspoons salt||3 tablespoons lemon juice||2 drops yellow food coloring||6 pounds apples
80,Easy Apple Pie,"1 (14.1 ounce) package pastry for a 9-inch double-crust pie||3/4 cup white sugar, or more to taste||1 teaspoon ground cinnamon||6 cups thinly sliced apples||1 tablespoon butter"
81,Apple Crumb Pie,6 cups thinly sliced apples||1 tablespoon lemon juice (Optional)||3/4 cup white sugar||2 tablespoons all-purpose flour||1/2 teaspoon ground cinnamon||1/8 teaspoon ground nutmeg||1/2 cup raisins (Optional)||1/2 cup chopped walnuts (Optional)||1 (9 inch) pie shell||1/2 cup all-purpose flour||1/2 cup packed brown sugar||3 tablespoons butter
82,Caramel Apples,"6 apples||6 wooden craft sticks, cooking spray||1 (14 ounce) package individually wrapped caramels, unwrapped||2 tablespoons milk"
83,German Apple Cake,"1 cup vegetable oil||2 eggs||2 cups white sugar||1 teaspoon vanilla extract||2 cups all-purpose flour||2 teaspoons ground cinnamon||1 teaspoon baking soda||1/2 teaspoon salt||4 cups apples - peeled, cored and diced"
84,"Awesome Sausage, Apple and Cranberry Stuffing","3 3/4 cups cubed white bread||1 1/2 cups cubed whole wheat bread||1 pound ground turkey sausage||1 cup chopped onion||3/4 cup chopped celery||2 1/2 teaspoons dried sage||1 1/2 teaspoons dried rosemary||1/2 teaspoon dried thyme||1 Golden Delicious apple, cored and chopped||3/4 cup dried cranberries||1/3 cup minced fresh parsley||1 cooked turkey liver, finely chopped||3/4 cup turkey stock||4 tablespoons unsalted butter, melted"
85,Apple Hand Pies,"2 tablespoons butter||2 large green apples - peeled, cored, and cut into chunks||2 tablespoons brown sugar||1/4 cup white sugar||1/4 teaspoon salt||1 1/2 teaspoons ground cinnamon, or to taste||1 teaspoon water, or more if needed (Optional)||1 pound prepared pie dough, cut into 4 pieces||1 egg||2 teaspoons milk||1 teaspoon white sugar, or as needed"
86,Amazing Apple Butter,"10 pounds apples, quartered||4 cups unsweetened apple juice||1 cup white sugar||1 tablespoon apple cider vinegar||1 1/2 teaspoons ground cinnamon||1/2 teaspoon ground cloves||1/2 teaspoon ground allspice||6 half-pint canning jars with lids and rings"
87,Easy Apple Cinnamon Muffins,"1 1/2 cups all-purpose flour||3/4 cup white sugar||2 teaspoons baking powder||1 teaspoon ground cinnamon||1/2 teaspoon salt||1 egg||1/3 cup vegetable oil||1/3 cup milk||2 apples - peeled, cored and chopped"
88,Debbie's Amazing Apple Bread,"2 eggs||2 cups white sugar||1/2 cup vegetable oil||2 teaspoons vanilla extract||2 cups apples, peeled and diced||2 cups all-purpose flour||1 1/2 teaspoons salt||1 teaspoon baking powder||1/2 teaspoon ground cinnamon, or more to taste"
89,Mom's Apple Fritters,"1 quart vegetable oil for deep-frying||1 1/2 cups all-purpose flour||1 tablespoon white sugar||2 teaspoons baking powder||1/2 teaspoon salt||2/3 cup milk||2 large eggs, beaten||1 tablespoon vegetable oil||3 cups apples - peeled, cored and chopped||1 cup cinnamon sugar"
90,Easy Apple Crisp with Pie Filling,1 (21 ounce) can apple pie filling||1/2 teaspoon ground cinnamon||1/2 teaspoon ground nutmeg||1 cup margarine||1/4 cup brown sugar||2 cups all-purpose flour
91,Apple Strudel Muffins,2 cups all-purpose flour||1 teaspoon baking powder||1/2 teaspoon baking soda||1/2 teaspoon salt||1 cup white sugar||1/2 cup butter||2 large eggs||1 1/4 teaspoons vanilla||1 1/2 cups chopped apples
92,Delicious Cinnamon Baked Apples,"1 teaspoon butter||2 tablespoons brown sugar||3 teaspoons vanilla sugar||3 teaspoons ground cinnamon||1 teaspoon ground nutmeg||6 large apples - peeled, cored, and sliced||3 1/2 tablespoons water"
93,Waldorf Salad,"1/2 cup mayonnaise||1 tablespoon white sugar||1 teaspoon lemon juice||1/8 teaspoon salt||3 apples -- peeled, cored, and chopped||1 cup thinly sliced celery||1/2 cup chopped walnuts||1/2 cup raisins (Optional)"
94,Apple-Cranberry Crostada,"3 tablespoons butter||2 pounds Granny Smith apples (or other firm, crisp apples), peeled, quartered, cored and sliced 1/4-inch thick||1 pound Macintosh apples (or other soft-textured apples that fall apart when cooked), peeled, quartered, cored, and sliced 1/4-inch thick||1/2 cup sugar||1/2 cup dried cranberries||1 sheet frozen puff pastry, thawed but still cold (follow package directions)||1 egg white, lightly beaten||1 tablespoon sugar||1 cup Optional: Ice cream or lightly sweetened whipped cream"
95,Apple Pie by Grandma Ople,"8 small Granny Smith apples, or as needed||1/2 cup unsalted butter||3 tablespoons all-purpose flour||1/2 cup white sugar||1/2 cup packed brown sugar||1/4 cup water||1 (9 inch) double-crust pie pastry, thawed"
96,Sarah's Homemade Applesauce,"4 apples - peeled, cored and chopped||3/4 cup water||1/4 cup white sugar||1/2 teaspoon ground cinnamon"
97,Apple Crisp,"10 cups all-purpose apples, peeled, cored and sliced||1 cup white sugar||1 tablespoon all-purpose flour||1 teaspoon ground cinnamon||1/2 cup water||1 cup quick-cooking oats||1 cup all-purpose flour||1 cup packed brown sugar||1/4 teaspoon baking powder||1/4 teaspoon baking soda||1/2 cup butter, melted"
98,Apple Pie Filling,18 cups thinly sliced apples||3 tablespoons lemon juice||10 cups water||4 1/2 cups white sugar||1 cup cornstarch||2 teaspoons ground cinnamon||1 teaspoon salt||1/4 teaspoon ground nutmeg
99,Easy Apple Crisp with Oat Topping,"6 apples - peeled, cored, and sliced||2 tablespoons white sugar||1 1/2 teaspoons ground cinnamon, divided||1 cup brown sugar||3/4 cup old-fashioned oats||3/4 cup all-purpose flour||1/2 cup cold butter"
100,Easy Apple Cider,1 (64 fluid ounce) bottle apple cider||3 cinnamon sticks||1 teaspoon whole allspice||1 teaspoon whole cloves||1/3 cup brown sugar
101,Apple-Cranberry Crisp,"2 pounds Granny Smith apples - peeled, cored and thinly sliced||3/4 cup cranberries||1/4 cup white sugar||1 tablespoon ground cinnamon||1 teaspoon ground nutmeg"
102,Old-Fashioned Apple Dumplings,"1 recipe pastry for double-crust pie||6 large Granny Smith apples, peeled and cored||1/2 cup butter||3/4 cup brown sugar||1 teaspoon ground cinnamon||1/2 teaspoon ground nutmeg||3 cups water||2 cups white sugar||1 teaspoon vanilla extract"
103,Southern Fried Apples,"1/2 cup butter||1/2 cup white sugar||2 tablespoons ground cinnamon||4 Granny Smith apples - peeled, cored, and sliced"
104,Apple Turnovers,"2 tablespoons lemon juice||4 cups water||4 Granny Smith apples - peeled, cored and sliced||2 tablespoons butter||1 cup brown sugar||1 teaspoon ground cinnamon||1 tablespoon cornstarch||1 tablespoon water||1 (17.25 ounce) package frozen puff pastry sheets, thawed||1 cup confectioners' sugar||1 tablespoon milk||1 teaspoon vanilla extract"
105,Apple Crisp - Perfect and Easy,"2 1/2 cups apples - peeled, cored, and sliced||1 cup sifted all-purpose flour||1 cup white sugar||1/2 teaspoon ground cinnamon||1/4 teaspoon salt||1/2 cup butter, softened"
106,The Best Caramel Apples,8 large tart apples||8 wooden chopsticks for handles||2 cups packed brown sugar||1 (14 ounce) can sweetened condensed milk||1 cup light corn syrup||1 cup butter||2 teaspoons vanilla extract
107,Mulligatawny Soup,"1/2 cup chopped onion||2 stalks celery, chopped||1 carrot, diced||1/4 cup butter||1 1/2 tablespoons all-purpose flour||1 1/2 teaspoons curry powder||4 cups chicken broth||1/2 apple, cored and chopped||1/4 cup white rice||1 skinless, boneless chicken breast half - cut into cubes||1 pinch dried thyme, salt and ground black pepper to taste||1/2 cup heavy cream, heated"
108,Sauteed Apples,"1/4 cup butter||4 large tart apples - peeled, cored and sliced 1/4 inch thick||1/2 cup cold water||2 teaspoons cornstarch||1/2 cup brown sugar||1/2 teaspoon ground cinnamon"
109,Homemade Apple Cider,"10 large apples, quartered, water, to cover||3/4 cup white sugar||1 tablespoon ground cinnamon||1 tablespoon ground allspice"
